episode,step,timestep,actor_loss,critic_loss,entropy,action_std,step_reward,cumulative_reward
0,1,64,471039961831834.5,0.375513482093811,-24.383926391601562,0.2,-0.1,-55.90000000000005
0,2,128,3.3146178104884247e+21,0.4989928394556046,-24.383926391601562,0.2,-0.1,-62.30000000000014
0,3,192,8225261022413.721,0.4607339173555374,-24.383926391601562,0.2,-0.1,-98.39999999999986
0,200,-128.89999999999984,200,0.2,episode_length
1,4,256,1.4177904342971536e+24,0.47067514061927795,-24.383926391601562,0.2,-0.1,-5.599999999999996
1,5,320,3.855702493582571e+26,0.4921530604362488,-24.383926391601562,0.2,-0.1,-11.999999999999973
1,6,384,4.491422536092877e+18,0.44087837636470795,-24.383926391601562,0.2,-0.1,-77.79999999999998
1,400,-79.39999999999989,200,0.2,episode_length
2,7,448,1.2252218462675699e+25,0.4850437343120575,-24.383926391601562,0.2,-0.1,-34.50000000000003
2,8,512,5.561745162045062e+24,0.4818896293640137,-24.383926391601562,0.2,-0.1,-70.59999999999988
2,9,576,1.7327354120128292e+22,0.4686047852039337,-24.383926391601562,0.2,-0.1,-136.39999999999955
2,600,-138.79999999999941,200,0.2,episode_length
3,10,640,7.960142138633639e+25,0.4788608580827713,-24.383926391601562,0.2,-0.1,-33.70000000000001
3,11,704,2.5995066360422565e+23,0.42573603689670564,-24.383926391601562,0.2,-0.1,-69.80000000000008
3,12,768,2.5439216782173765e+23,0.4944818735122681,-24.383926391601562,0.2,-0.1,-76.19999999999972
3,800,-109.09999999999955,200,0.2,episode_length
4,13,832,1.2590102793012528e+27,0.4886465400457382,-24.383926391601562,0.2,-0.1,-3.2000000000000015
4,14,896,5.121411689547447e+26,0.4893242210149765,-24.383926391601562,0.2,-0.1,-39.30000000000003
4,15,960,4.05081420601813e+22,0.49009239077568056,-24.383926391601562,0.2,-0.1,-75.39999999999978
4,1000,-79.39999999999955,200,0.2,episode_length
5,16,1024,4.755334983493525e+26,0.4947429925203323,-24.383926391601562,0.2,-0.1,-2.400000000000001
5,17,1088,2.0231771303053047e+26,0.4870308816432953,-24.383926391601562,0.2,-0.1,-38.50000000000008
5,18,1152,1.2729996051713804e+25,0.48598088026046754,-24.383926391601562,0.2,-0.1,-74.6
5,1200,-109.09999999999974,200,0.2,episode_length
6,19,1216,3.929045733448716e+26,0.48662388026714326,-24.383926391601562,0.2,-0.1,-1.6000000000000003
6,20,1280,3.310488155333398e+25,0.4902397692203522,-24.383926391601562,0.2,-10.0,-47.60000000000001
6,21,1344,1.873564440534183e+23,0.4799090713262558,-24.383926391601562,0.2,-0.1,-54.0000000000001
6,1400,-89.29999999999993,200,0.2,episode_length
7,22,1408,2.974348287466759e+24,0.4951509416103363,-24.383926391601562,0.2,-0.1,-0.7999999999999999
7,23,1472,3.6192733602481905e+26,0.48838149905204775,-24.383926391601562,0.2,-0.1,-36.90000000000006
7,24,1536,1.6080660823646428e+26,0.4860455483198166,-24.383926391601562,0.2,-0.1,-82.89999999999984
7,25,1600,1.3836884805363017e+23,0.49278014004230497,-24.383926391601562,0.2,-0.1,-89.29999999999947
7,1600,-89.29999999999947,200,0.2,episode_length
8,26,1664,1.7778412951455515e+23,0.481900742650032,-24.383926391601562,0.2,-0.1,-55.90000000000008
