episode,step,timestep,actor_loss,critic_loss,entropy,action_std,step_reward,cumulative_reward
0,1,128,-0.32969605301817256,1.2374099269509315,59.02028147379557,0.2,-0.01,-1.280000000000001
0,130,-6.290000000000001,130,0.2,collision
1,2,256,-0.25565189371506375,0.4428520587583383,59.135500272115074,0.2,-0.01,-1.260000000000001
1,344,-7.129999999999999,214.0,0.2,collision
2,3,384,-0.2638591453433037,0.4558888264000416,59.25071875254313,0.2,-0.01,-2.3899999999999917
2,4,512,-0.23906622206171355,0.38194843009114265,59.36593882242838,0.2,-0.01,-3.6699999999999644
2,627,-9.80999999999994,283.0,0.2,collision
3,5,640,-0.2840220058957736,0.4665536979834239,59.4811585744222,0.2,-0.01,-0.12999999999999998
3,6,768,-0.25284572690725327,0.41330898615221184,59.59637705485026,0.2,-0.01,-1.410000000000001
3,7,896,-0.2988254850109418,0.6243067855636278,59.71159648895264,0.2,-0.01,-2.6899999999999866
3,8,1024,-0.2505544101198514,0.4746686580280463,59.82681369781494,0.2,-5.0,-8.95999999999996
3,1024,-8.95999999999996,397.0,0.2,collision
4,9,1152,-0.27869074294964474,0.5493672173470259,59.942033449808754,0.2,-0.01,-3.269999999999973
4,1267,-9.409999999999949,243.0,0.2,collision
5,10,1280,-0.30248669783274335,0.5765272043645382,60.05725351969401,0.2,-0.01,-0.12999999999999998
5,11,1408,-0.26473961149652797,0.6196423682073752,60.17247231801351,0.2,-0.01,-1.410000000000001
5,12,1536,-0.31945998842517537,0.5850669747839371,60.28769111633301,0.2,-0.01,-2.6899999999999866
5,1598,-8.299999999999974,331.0,0.2,collision
6,13,1664,-0.2795826469858487,0.588561650365591,60.402909914652504,0.2,-0.01,-0.6600000000000004
6,14,1792,-0.3139632207651933,0.6288544324537119,60.518129666646324,0.2,-0.01,-1.9400000000000015
6,1886,-7.869999999999983,288.0,0.2,collision
7,15,1920,-0.3005898396174113,0.49653057505687076,60.633349100748696,0.2,-0.01,-0.34000000000000014
7,16,2048,-0.2733897628883521,0.49296510467926663,60.7485678990682,0.2,-0.01,-1.6200000000000012
7,17,2176,-0.32003141070405644,0.5204501276214918,60.86378701527914,0.2,-0.01,-2.899999999999982
7,18,2304,-0.32854200154542923,0.8657434284687042,60.97900581359863,0.2,-0.01,-4.179999999999955
7,19,2432,-0.33264154319961864,0.5344839120904604,61.09422492980957,0.2,-0.01,-5.459999999999928
7,2526,-6.399999999999908,640.0,0.2,episode_length
8,20,2560,-0.2835959369937579,0.6196944589416186,61.209444999694824,0.2,-0.01,-0.34000000000000014
8,2641,-6.140000000000001,115.0,0.2,collision
9,21,2688,-0.3185216685136159,0.6083306781947613,61.32466348012289,0.2,-0.01,-0.47000000000000025
9,22,2816,-0.3219370146592458,0.5684650192658106,61.439882596333824,0.2,-0.01,-1.7500000000000013
9,2849,-7.07,208.0,0.2,collision
10,23,2944,-0.3072851424415906,0.49947143346071243,61.55510234832764,0.2,-0.01,-0.9500000000000006
