episode,step,timestep,actor_loss,critic_loss,entropy,action_std,step_reward,cumulative_reward
0,64,64,3.2134923934936523,0.4211775448638946,-0.3809988498687744,0.2,-0.1,-89.69999999999997
0,128,128,-0.5211358666419983,0.1728033442981541,-0.3809988498687744,0.2,-0.1,-184.29999999999973
0,192,192,0.6994032859802246,0.005230976594612002,-0.3809988498687744,0.2,-0.1,-293.6000000000001
0,256,256,1.4993183612823486,0.038269633902564236,-0.3809988498687744,0.2,-0.1,-358.80000000000126
0,320,320,0.13191170990467072,0.0004267372307367623,-0.3809988498687744,0.2,-0.1,-428.9000000000024
0,384,384,-5.372827053070068,8.137392282485962,-0.3809988498687744,0.2,-0.1,-538.2000000000033
0,448,448,-0.2988106608390808,0.012494558293838054,-0.3809988498687744,0.2,-0.1,-676.9000000000042
0,512,512,-1.4302477836608887,0.29251584043668116,-0.3809988498687744,0.2,-0.1,-761.7000000000053
0,576,576,-0.33926400542259216,0.013569009881393868,-0.3809988498687744,0.2,-0.1,-856.3000000000063
0,640,640,-1.8532531261444092,0.3801722676260397,-0.3809988498687744,0.2,-5.0,-931.3000000000075
0,640,-931.3000000000075,640,0.2,episode_length
1,704,704,-0.025570930913090706,0.0007385568056633929,-0.3809988498687744,0.2,-0.1,-65.20000000000002
1,768,768,2.8762497901916504,2.423759627342224,-0.3809988498687744,0.2,-5.0,-130.39999999999972
1,832,832,19.462514877319336,10.175822639465332,-0.3809988498687744,0.2,-5.0,-205.39999999999944
1,896,896,0.5266717076301575,0.005721974893822335,-0.3809988498687744,0.2,-0.1,-300.00000000000006
1,960,960,-0.17504167556762695,0.004322578204300953,-0.3809988498687744,0.2,-0.1,-375.0000000000012
1,1024,1024,-0.6361845135688782,0.054418993555009364,-0.3809988498687744,0.2,-0.1,-435.3000000000024
1,1088,1088,-0.06067942827939987,0.0018398128810417802,-0.3809988498687744,0.2,-0.1,-520.1000000000035
1,1152,1152,-0.09978940337896347,0.0013368457643082366,-0.3809988498687744,0.2,-0.1,-619.6000000000046
1,1216,1216,-0.12911884486675262,0.0028243685994311816,-0.3809988498687744,0.2,-0.1,-694.6000000000057
1,1280,1280,-1.0379557609558105,0.23962159417569637,-0.3809988498687744,0.2,-0.1,-769.6000000000068
1,1280,-769.6000000000068,640,0.2,episode_length
2,1344,1344,-0.04086312651634216,0.00046642085380881325,-0.3809988498687744,0.2,-0.1,-79.89999999999995
2,1408,1408,0.32289543747901917,0.003599239877075888,-0.3809988498687744,0.2,-0.1,-159.79999999999967
2,1472,1472,0.4323712885379791,0.0023015688317627792,-0.3809988498687744,0.2,-0.1,-234.7999999999994
2,33,1536,-2.1978585720062256,1.0023207098245621,-0.3809988498687744,0.2,-0.1,-329.4
2,97,1600,-0.765344500541687,0.06979948680964299,-0.3809988498687744,0.2,-0.1,-419.10000000000105
2,161,1664,-0.11961768567562103,0.0019104789420907764,-0.3809988498687744,0.2,-0.1,-499.00000000000216
2,225,1728,-0.1502666473388672,0.0026250231874655585,-0.3809988498687744,0.2,-0.1,-583.8000000000033
2,289,1792,0.20121920108795166,0.0007387678939267062,-0.3809988498687744,0.2,-0.1,-668.6000000000043
2,353,1856,0.0685015469789505,6.903661559363173e-05,-0.3809988498687744,0.2,-0.1,-748.5000000000055
2,417,1920,3.607884645462036,0.1674722502939403,-0.3809988498687744,0.2,-5.0,-838.2000000000065
2,1920,-838.2000000000065,640,0.2,episode_length
3,481,1984,2.839430093765259,0.11765489956596867,-0.3809988498687744,0.2,-5.0,-109.29999999999994
3,545,2048,0.09071412682533264,0.00038457052942248994,-0.3809988498687744,0.2,-0.1,-184.29999999999964
3,609,2112,0.10251255333423615,0.0007359882397850015,-0.3809988498687744,0.2,-0.1,-278.89999999999975
3,673,2176,-0.8087121248245239,0.42302473708987237,-0.3809988498687744,0.2,-5.0,-368.6000000000008
3,737,2240,-0.0607791393995285,0.000924211659366847,-0.3809988498687744,0.2,-0.1,-458.3000000000019
3,801,2304,-0.7485824227333069,0.20947421826422213,-0.3809988498687744,0.2,-5.0,-538.200000000003
