episode,timestep,episode_reward,episode_length,action_std,termination_reason
0,57,-10.599999999999996,57,0.2,collision
1,125,-11.699999999999992,68.0,0.2,collision
2,1,128,-0.308013416826725,0.4722475508848826,59.02028147379557,0.2,-0.1,-0.30000000000000004
2,194,-11.799999999999992,69.0,0.2,collision
3,215,-7.0,21.0,0.2,collision
4,2,256,-0.2775730639696121,0.43395731536050636,59.135500272115074,0.2,-0.1,-4.100000000000001
4,337,-17.099999999999973,122.0,0.2,collision
5,3,384,-0.2365546648701032,0.3999883259336154,59.25071875254313,0.2,-0.1,-4.699999999999999
5,410,-12.19999999999999,73.0,0.2,collision
6,4,512,-0.271097082644701,0.5827627262721459,59.36593882242838,0.2,-0.1,-10.19999999999998
6,599,-23.799999999999997,189.0,0.2,collision
7,632,-8.200000000000001,33.0,0.2,collision
8,5,640,-0.2836160200337569,0.5105102049807707,59.4811585744222,0.2,-0.1,-0.7999999999999999
8,6,768,-0.2715053893625736,0.5334613546729088,59.59637705485026,0.2,-0.1,-13.599999999999968
8,773,-18.999999999999964,141.0,0.2,collision
9,892,-16.799999999999976,119.0,0.2,collision
10,7,896,-0.28411832948525745,0.575659399231275,59.71159648895264,0.2,-0.1,-0.4
10,938,-9.5,46.0,0.2,collision
11,8,1024,-0.2769829196234544,0.5105230746169885,59.82681369781494,0.2,-0.1,-8.599999999999985
11,1103,-21.399999999999963,165.0,0.2,collision
12,9,1152,-0.30173641815781593,0.578147920469443,59.942033449808754,0.2,-0.1,-4.899999999999999
12,1261,-20.69999999999996,158.0,0.2,collision
13,10,1280,-0.2973191353181998,0.5240342654287815,60.05725351969401,0.2,-0.1,-1.9000000000000006
13,1300,-8.800000000000002,39.0,0.2,collision
14,1398,-9.799999999999981,98.0,0.2,collision
15,11,1408,-0.2794724715252717,0.7328054830431938,60.17247231801351,0.2,-0.1,-0.9999999999999999
15,1438,-8.900000000000002,40.0,0.2,collision
