episode,timestep,episode_reward,episode_length,termination_reason
0,65,-3.619427653854048,65,collision
1,126,21.15641100968699,61.0,collision
2,1,128,-0.756814199189345,0.4828052604570985,94.73820845286052,0.2,-0.051000000000000004,77.15488235294117
2,1,256,-0.5259614288806915,0.4395442840953668,84.45215288798015,0.2,1.0147166842016984,75.93250870641263
2,325,74.56633569725163,199.0,collision
3,2,384,-0.626207580169042,0.4875244162976742,94.90617752075195,0.2,-0.053000000000000005,12.67239170095759
3,446,2.5483917009575903,121.0,collision
4,3,512,-0.6815842812259992,0.44308776905139285,95.02024777730306,0.2,-0.08400000000000002,1.9280808719077673
4,542,-3.4096316073379693,96.0,collision
5,563,46.88230254777148,21.0,collision
6,610,9.022084448396434,47.0,collision
7,4,640,-0.6449563205242157,0.5165732949972153,95.13546911875407,0.2,6.035515223612253,10.72010205059403
7,644,11.652617274206285,34.0,collision
8,718,-4.743720244081086,74.0,collision
9,5,768,-0.6512507597605387,0.46414074798425037,95.25075626373291,0.2,-0.051000000000000004,-2.575837338958569
9,6,896,-0.6878141636649767,0.47603422154982883,95.36604404449463,0.2,-0.11600000000000002,-9.491237457113845
9,977,-18.667338738287103,259.0,collision
10,7,1024,-0.608842541774114,0.43754903847972554,95.48133023579915,0.2,-5.0,38.08795429961325
10,1024,38.08795429961325,47.0,collision
11,1076,125.33625369790468,52.0,collision
12,8,1152,-0.7662549664576849,0.494306399486959,95.59661960601807,0.2,0.5376680205604343,-0.8047040275002011
12,1219,-6.85704657237423,143.0,collision
13,9,1280,-0.6527316346764565,0.4988352321088314,95.71190706888835,0.2,-0.054000000000000006,5.407898872211758
13,1292,8.186895081264533,73.0,collision
14,1336,4.293198234108832,44.0,collision
15,1364,20.567235787386448,28.0,collision
16,10,1408,-0.6364637290438017,0.507726389914751,95.82719421386719,0.2,-0.061,-0.6282588849868516
16,11,1536,-0.6639992271860441,0.4542671274393797,95.94248263041179,0.2,-0.08000000000000002,-1.4101306672531857
16,1566,-7.268543886957975,202.0,collision
17,1589,13.714671243957675,23.0,collision
18,1630,3.696660143653631,41.0,collision
19,1652,41.51378542916897,22.0,collision
20,12,1664,-0.6356764137744904,0.4728003591299057,96.05777200063069,0.2,-0.052000000000000005,2.785431521703791
20,1690,45.85017199429039,38.0,collision
21,13,1792,-0.6758917197585106,0.44873927781979245,96.17306009928386,0.2,-0.061,-3.2744330872941068
21,1866,-11.084260311594019,176.0,collision
22,1918,4.870984456866346,52.0,collision
23,14,1920,-0.6501612762610117,0.46319982161124545,96.28834660847981,0.2,-0.052000000000000005,-0.10300000000000001
23,1977,16.765828811655442,59.0,collision
24,2003,21.75242962673195,26.0,collision
25,15,2048,-0.6498162671923637,0.5017565252880255,96.40363470713298,0.2,-0.059,-0.5395268329359499
25,2084,0.1689042886645593,81.0,collision
26,2117,24.117021950598755,33.0,collision
27,2149,3.792568045903467,32.0,collision
28,16,2176,-0.6536194210251173,0.481900405138731,96.51892407735188,0.2,-0.057999999999999996,10.984004562886675
28,2252,2.878996733315999,103.0,collision
29,17,2304,-0.6345569541056951,0.49491946771740913,96.6342093149821,0.2,-0.06899999999999999,7.2760187116863735
29,2393,35.65715320431511,141.0,collision
30,18,2432,-0.6552965765198072,0.488606342424949,96.74949804941814,0.2,-0.054000000000000006,-1.136340615254455
30,2559,25.009660770783015,166.0,collision
31,19,2560,-0.6437781925002733,0.46363188574711484,96.86478424072266,0.2,-0.051000000000000004,-0.051000000000000004
31,2574,4.679625455890575,15.0,collision
32,2661,-1.5568012693540916,87.0,collision
33,2683,3.1900495922966563,22.0,collision
34,20,2688,-0.6205884168545405,0.4808175601065159,96.98007265726726,0.2,-0.05500000000000001,-0.265
34,2790,-6.761534356756696,107.0,collision
