episode,step,timestep,actor_loss,critic_loss,entropy,action_std,step_reward,cumulative_reward
11,36,2304,7.76551919019681e+19,0.2966530755162239,-24.383926391601562,0.2,-0.1,-10.399999999999979
11,37,2368,3.087092527519123e+25,0.35842988193035125,-24.383926391601562,0.2,-0.1,-16.79999999999997
11,2400,-20.000000000000014,200,0.2,episode_length
12,38,2432,6.442889114477765e+23,0.3030543319880962,-24.383926391601562,0.2,-0.1,-3.2000000000000015
12,39,2496,1.6135635371369044e+20,0.4678426831960678,-24.383926391601562,0.2,-0.1,-9.599999999999982
12,40,2560,8.7212057602292e+20,0.5845679491758347,-24.383926391601562,0.2,-0.1,-15.99999999999996
12,2600,-20.000000000000014,200,0.2,episode_length
13,41,2624,2.067217707079515e+20,0.5181341111660004,-24.383926391601562,0.2,-0.1,-2.400000000000001
13,42,2688,3.7506982813709208e+25,0.5490470349788665,-24.383926391601562,0.2,-0.1,-8.799999999999985
13,43,2752,1.2756631853119548e+24,0.5137207508087158,-24.383926391601562,0.2,-0.1,-15.199999999999962
13,2800,-20.000000000000014,200,0.2,episode_length
14,44,2816,7.020704261318725e+24,0.4326880991458893,-24.383926391601562,0.2,-0.1,-1.6000000000000003
14,45,2880,1.119339967583638e+19,0.5701330482959748,-24.383926391601562,0.2,-0.1,-7.999999999999988
14,46,2944,7.068966327958976e+25,0.4052684813737869,-24.383926391601562,0.2,-0.1,-14.399999999999965
14,3000,-20.000000000000014,200,0.2,episode_length
15,47,3008,2.1053306166021636e+22,0.3565243437886238,-24.383926391601562,0.2,-0.1,-0.7999999999999999
15,48,3072,5.632752271654067e+24,0.5078748822212219,-24.383926391601562,0.2,-0.1,-7.19999999999999
15,49,3136,6.8982887176470946e+19,0.5025666058063507,-24.383926391601562,0.2,-0.1,-13.599999999999968
15,50,3200,4.4305037410485565e+24,0.40430034697055817,-24.383926391601562,0.2,-0.1,-20.000000000000014
15,3200,-20.000000000000014,200,0.2,episode_length
16,51,3264,3.0268309786905804e+16,0.22552128210663797,-24.383926391601562,0.2,-0.1,-6.399999999999993
16,52,3328,1.1962998995165184e+25,0.34337266683578493,-24.383926391601562,0.2,-0.1,-12.79999999999997
16,53,3392,3.1099073831726093e+21,0.45379865169525146,-24.383926391601562,0.2,-0.1,-19.200000000000003
16,3400,-20.000000000000014,200,0.2,episode_length
17,54,3456,4.4996103243070176e+17,0.5489872425794602,-24.383926391601562,0.2,-0.1,-5.599999999999996
17,55,3520,2.833167147710699e+22,0.5036749958992004,-24.383926391601562,0.2,-0.1,-11.999999999999973
17,56,3584,5.893718406001553e+21,0.4605151802301407,-24.383926391601562,0.2,-0.1,-18.39999999999999
17,3600,-20.000000000000014,200,0.2,episode_length
18,57,3648,1.2539242370262106e+18,0.42651822566986086,-24.383926391601562,0.2,-0.1,-4.799999999999999
18,58,3712,4.418706334589911e+18,0.56779705286026,-24.383926391601562,0.2,-0.1,-11.199999999999976
