episode,timestep,episode_reward,episode_length,termination_reason
89,2510,18.762422867915188,48.0,collision
90,2541,16.694106252187616,31.0,collision
91,14,2560,-0.28299034759402275,0.4666835268338521,61.203660329182945,0.2,-5.0,12.63995080768694
91,2560,12.63995080768694,19.0,collision
92,2589,42.83561471653978,29.0,collision
93,2626,14.043713464051766,37.0,collision
94,2669,16.0691783501121,43.0,collision
95,2686,16.895856649440816,17.0,collision
96,15,2688,-0.3440214085082213,0.4663344540943702,61.31942812601725,0.2,-0.052000000000000005,-0.10300000000000001
96,2716,5.545079578118411,30.0,collision
97,2743,50.5619349612605,27.0,collision
98,2810,10.24460663250617,67.0,collision
99,16,2816,-0.4294825767477353,0.46897217476119596,61.43519878387451,0.2,-0.054000000000000006,88.02529411764705
99,2848,192.83469427974708,38.0,collision
100,2880,260.90683330448866,32.0,collision
101,2905,7.463110377029761,25.0,collision
102,2924,-1.6937956981922038,19.0,collision
103,17,2944,-0.38421381016572315,0.44361191398153704,61.55096594492594,0.2,1.3269410506659176,9.156575370883065
103,2979,84.3701108455741,55.0,collision
104,3028,272.7551006375686,49.0,collision
105,3048,13.549969115449873,20.0,collision
106,3061,-1.908062590285048,13.0,collision
107,18,3072,-0.4156883532802264,0.47252283928294975,61.666659673055015,0.2,-0.051000000000000004,26.632162179483156
107,3074,21.580162179483157,13.0,collision
108,3092,15.476530282621923,18.0,collision
109,3151,20.29831593178429,59.0,collision
110,19,3200,-0.2680566646158695,0.4845636747777462,61.78229204813639,0.2,-0.052000000000000005,-1.1718674502553237
110,3236,-2.7481498290061364,85.0,collision
111,3282,67.58565546530315,46.0,collision
112,3312,17.579041957289338,30.0,collision
113,20,3328,-0.30136554812391597,0.48336080834269524,61.89792251586914,0.2,-0.052000000000000005,64.37947611095932
113,3330,59.32647611095932,18.0,collision
114,3374,32.9119777372294,44.0,collision
115,3389,7.078305869073423,15.0,collision
116,3429,13.699588774602116,40.0,collision
117,3453,-6.228627324103261,24.0,collision
118,21,3456,-0.3148822548488776,0.47565776978929836,62.0135555267334,0.2,-0.053000000000000005,-0.15600000000000003
118,3518,11.532083883853016,65.0,collision
119,3564,15.747927434021864,46.0,collision
120,22,3584,-0.29503800099094707,0.4736298794547717,62.12918663024902,0.2,-0.057999999999999996,1.034795465458021
120,3599,9.340080388068657,35.0,collision
121,3630,12.631332896429445,31.0,collision
122,3648,23.474153342248872,18.0,collision
123,3692,18.412646531528388,44.0,collision
124,23,3712,-0.3074588142335415,0.48836885020136833,62.244818687438965,0.2,0.042256060140304315,-0.7993980835678802
124,3804,1.955815434915678,112.0,collision
125,24,3840,-0.3227638614674409,0.47147634873787564,62.36039447784424,0.2,-0.053000000000000005,0.6522294044695709
125,3846,-1.6160605391698786,42.0,collision
126,3904,12.987150432920792,58.0,collision
127,25,3968,-0.3028732053935528,0.479111651579539,62.47588952382406,0.2,-0.052000000000000005,-2.3336767382804484
127,3990,14.692069039543743,86.0,collision
128,4032,14.889354953973616,42.0,collision
129,4056,14.094004778027955,24.0,collision
130,4074,14.263121603462775,18.0,collision
131,4088,2.03357727086211,14.0,collision
132,26,4096,-0.2954597796003024,0.4569433418413003,62.59138298034668,0.2,-0.057999999999999996,-0.436
132,4128,-1.0087281032172473,40.0,collision
133,4165,52.98367926390226,37.0,collision
134,4181,24.875453606547133,16.0,collision
135,27,4224,-0.3146269867817561,0.49648387481768924,62.70687770843506,0.2,-0.05600000000000001,-1.5432057431813213
135,4257,28.29704264809419,76.0,collision
136,4278,7.79150039621446,21.0,collision
137,4321,9.49388749261291,43.0,collision
138,4334,0.06673302095694034,13.0,collision
139,28,4352,-0.3205118017892043,0.4861624501645565,62.82237180074056,0.2,-0.05500000000000001,-0.5801015935920545
139,4394,4.086014367086287,60.0,collision
140,4459,72.46119242497966,65.0,collision
