episode,timestep,episode_reward,episode_length,action_std,termination_reason
0,53,-5.299999999999997,53,0.2,collision
1,63,-5.9,10.0,0.2,collision
2,81,-6.7,18.0,0.2,collision
3,1,128,217578387235256.47,0.6180452182888985,-18.287948608398438,0.2,-0.1,-4.699999999999999
3,2,256,4003191403248192.0,0.410101979970932,-18.287948608398438,0.2,-0.1,-17.49999999999998
3,3,384,1.665231684433332e+16,0.4879778443525235,-18.287948608398438,0.2,-0.1,-30.30000000000016
3,437,-40.500000000000234,356.0,0.2,collision
4,4,512,7.576502977542919e+18,0.4233681795497735,-18.287948608398438,0.2,-0.1,-7.499999999999989
4,5,640,1.5536693357274424e+18,0.4535585604608059,-18.287948608398438,0.2,-0.1,-20.30000000000002
4,722,-33.400000000000134,285.0,0.2,collision
5,6,768,5.7607623029621326e+19,0.45737030208110807,-18.287948608398438,0.2,-0.1,-4.6
5,7,896,4.000836462708279e+21,0.42592029211421806,-18.287948608398438,0.2,-0.1,-17.399999999999977
5,1012,-33.90000000000014,290.0,0.2,collision
6,8,1024,8.023316331658998e+20,0.48843146425982314,-18.287948608398438,0.2,-0.1,-1.2
6,9,1152,1.2616418090662159e+21,0.5060623387495676,-18.287948608398438,0.2,-0.1,-13.999999999999966
6,10,1280,3.718175741449968e+19,0.3954033882667621,-18.287948608398438,0.2,-0.1,-26.80000000000011
6,1296,-33.30000000000013,284.0,0.2,collision
7,11,1408,2.87236015548098e+20,0.4797048009932041,-18.287948608398438,0.2,-0.1,-11.199999999999976
7,12,1536,2.0037106844198322e+21,0.404458693228662,-18.287948608398438,0.2,-0.1,-24.00000000000007
7,1637,-39.00000000000021,341.0,0.2,collision
8,13,1664,6.690290182481503e+21,0.7120663449168205,-18.287948608398438,0.2,-0.1,-2.700000000000001
8,1769,-18.09999999999997,132.0,0.2,collision
9,14,1792,3.272693603291785e+19,0.5911509295304617,-18.287948608398438,0.2,-0.1,-2.3000000000000007
9,15,1920,5.802885861633618e+19,0.6123925199111303,-18.287948608398438,0.2,-0.1,-15.099999999999962
9,16,2048,2.902147029268439e+23,0.428575682764252,-18.287948608398438,0.2,-0.1,-27.900000000000126
9,17,2176,2.5430168001525915e+21,0.3590397698183854,-18.287948608398438,0.2,-0.1,-40.70000000000031
9,2184,-46.40000000000032,415.0,0.2,collision
10,2244,-10.899999999999995,60.0,0.2,collision
11,18,2304,2.709253571816977e+20,0.48394730562965077,-18.287948608398438,0.2,-0.1,-5.999999999999995
11,2392,-19.699999999999964,148.0,0.2,collision
12,19,2432,3.861406768501301e+22,0.46246517449617386,-18.287948608398438,0.2,-0.1,-4.000000000000002
12,20,2560,3.549433649701922e+21,0.5107664602498213,-18.287948608398438,0.2,-0.1,-16.79999999999997
12,21,2688,1.202836334154385e+21,0.449565755824248,-18.287948608398438,0.2,-0.1,-29.60000000000015
12,2755,-41.200000000000244,363.0,0.2,collision
13,22,2816,9.47705022513505e+21,0.5253134872764349,-18.287948608398438,0.2,-0.1,-6.099999999999994
13,23,2944,4.8188843445007175e+20,0.5264923386275768,-18.287948608398438,0.2,-0.1,-18.9
13,2972,-26.600000000000037,217.0,0.2,collision
